Noise_Type,Noise_Rate,Fold,Model,Accuracy,F1
symmetric,0.0,1,Logistic Regression,0.9736842105263158,0.9787234042553191
symmetric,0.0,1,Decision Tree,0.9298245614035088,0.9436619718309859
symmetric,0.0,1,Random Forest,0.9649122807017544,0.9714285714285714
symmetric,0.0,1,SVM,0.9912280701754386,0.9929078014184397
symmetric,0.0,1,KNN,0.9824561403508771,0.9861111111111112
symmetric,0.0,1,LightGBM,0.9736842105263158,0.9787234042553191
symmetric,0.0,2,Logistic Regression,0.9473684210526315,0.9594594594594594
symmetric,0.0,2,Decision Tree,0.8771929824561403,0.9066666666666666
symmetric,0.0,2,Random Forest,0.9298245614035088,0.9459459459459459
symmetric,0.0,2,SVM,0.9473684210526315,0.9583333333333334
symmetric,0.0,2,KNN,0.9473684210526315,0.958904109589041
symmetric,0.0,2,LightGBM,0.9473684210526315,0.958904109589041
symmetric,0.0,3,Logistic Regression,0.9649122807017544,0.972972972972973
symmetric,0.0,3,Decision Tree,0.9210526315789473,0.9379310344827586
symmetric,0.0,3,Random Forest,0.956140350877193,0.9659863945578231
symmetric,0.0,3,SVM,0.9736842105263158,0.9795918367346939
symmetric,0.0,3,KNN,0.9385964912280702,0.9523809523809523
symmetric,0.0,3,LightGBM,0.956140350877193,0.9659863945578231
symmetric,0.0,4,Logistic Regression,0.9912280701754386,0.993006993006993
symmetric,0.0,4,Decision Tree,0.9385964912280702,0.950354609929078
symmetric,0.0,4,Random Forest,0.956140350877193,0.9640287769784173
symmetric,0.0,4,SVM,0.9912280701754386,0.993006993006993
symmetric,0.0,4,KNN,0.9824561403508771,0.9859154929577465
symmetric,0.0,4,LightGBM,0.9736842105263158,0.9790209790209791
symmetric,0.0,5,Logistic Regression,0.9911504424778761,0.993006993006993
symmetric,0.0,5,Decision Tree,0.911504424778761,0.9315068493150684
symmetric,0.0,5,Random Forest,0.9646017699115044,0.9722222222222222
symmetric,0.0,5,SVM,0.9823008849557522,0.9861111111111112
symmetric,0.0,5,KNN,0.9646017699115044,0.9726027397260274
symmetric,0.0,5,LightGBM,0.9823008849557522,0.9861111111111112
symmetric,0.1,1,Logistic Regression,0.9385964912280702,0.951048951048951
symmetric,0.1,1,Decision Tree,0.8245614035087719,0.855072463768116
symmetric,0.1,1,Random Forest,0.9473684210526315,0.9565217391304348
symmetric,0.1,1,SVM,0.9912280701754386,0.993006993006993
symmetric,0.1,1,KNN,0.9736842105263158,0.9790209790209791
symmetric,0.1,1,LightGBM,0.9473684210526315,0.9571428571428572
symmetric,0.1,2,Logistic Regression,0.9385964912280702,0.9517241379310345
symmetric,0.1,2,Decision Tree,0.7894736842105263,0.8378378378378378
symmetric,0.1,2,Random Forest,0.9298245614035088,0.9459459459459459
symmetric,0.1,2,SVM,0.9210526315789473,0.9387755102040817
symmetric,0.1,2,KNN,0.9298245614035088,0.9452054794520548
symmetric,0.1,2,LightGBM,0.9210526315789473,0.9395973154362416
symmetric,0.1,3,Logistic Regression,0.9473684210526315,0.96
symmetric,0.1,3,Decision Tree,0.8859649122807017,0.9051094890510949
symmetric,0.1,3,Random Forest,0.9649122807017544,0.972972972972973
symmetric,0.1,3,SVM,0.9736842105263158,0.9795918367346939
symmetric,0.1,3,KNN,0.9298245614035088,0.9444444444444444
symmetric,0.1,3,LightGBM,0.9298245614035088,0.9452054794520548
symmetric,0.1,4,Logistic Regression,0.956140350877193,0.9659863945578231
symmetric,0.1,4,Decision Tree,0.868421052631579,0.8936170212765957
symmetric,0.1,4,Random Forest,0.9473684210526315,0.9571428571428572
symmetric,0.1,4,SVM,0.9824561403508771,0.9859154929577465
symmetric,0.1,4,KNN,0.9736842105263158,0.9787234042553191
symmetric,0.1,4,LightGBM,0.956140350877193,0.965034965034965
symmetric,0.1,5,Logistic Regression,0.9734513274336283,0.9793103448275862
symmetric,0.1,5,Decision Tree,0.7610619469026548,0.8057553956834532
symmetric,0.1,5,Random Forest,0.9380530973451328,0.9530201342281879
symmetric,0.1,5,SVM,0.9557522123893806,0.9659863945578231
symmetric,0.1,5,KNN,0.9646017699115044,0.9722222222222222
symmetric,0.1,5,LightGBM,0.9380530973451328,0.9530201342281879
symmetric,0.2,1,Logistic Regression,0.9385964912280702,0.9530201342281879
symmetric,0.2,1,Decision Tree,0.8157894736842105,0.8467153284671532
symmetric,0.2,1,Random Forest,0.9385964912280702,0.948905109489051
symmetric,0.2,1,SVM,0.9649122807017544,0.9726027397260274
symmetric,0.2,1,KNN,0.9473684210526315,0.9583333333333334
symmetric,0.2,1,LightGBM,0.8596491228070176,0.8857142857142857
symmetric,0.2,2,Logistic Regression,0.9122807017543859,0.9324324324324325
symmetric,0.2,2,Decision Tree,0.8070175438596491,0.8472222222222222
symmetric,0.2,2,Random Forest,0.8596491228070176,0.8918918918918919
symmetric,0.2,2,SVM,0.9122807017543859,0.9324324324324325
symmetric,0.2,2,KNN,0.8771929824561403,0.9054054054054054
symmetric,0.2,2,LightGBM,0.8421052631578947,0.88
symmetric,0.2,3,Logistic Regression,0.9122807017543859,0.9324324324324325
symmetric,0.2,3,Decision Tree,0.7719298245614035,0.803030303030303
symmetric,0.2,3,Random Forest,0.9210526315789473,0.9379310344827586
symmetric,0.2,3,SVM,0.956140350877193,0.9664429530201343
symmetric,0.2,3,KNN,0.8421052631578947,0.8714285714285714
symmetric,0.2,3,LightGBM,0.8596491228070176,0.8873239436619719
symmetric,0.2,4,Logistic Regression,0.9035087719298246,0.9241379310344827
symmetric,0.2,4,Decision Tree,0.6842105263157895,0.7313432835820896
symmetric,0.2,4,Random Forest,0.9035087719298246,0.920863309352518
symmetric,0.2,4,SVM,0.9385964912280702,0.9496402877697842
symmetric,0.2,4,KNN,0.9035087719298246,0.920863309352518
symmetric,0.2,4,LightGBM,0.868421052631579,0.8920863309352518
symmetric,0.2,5,Logistic Regression,0.9557522123893806,0.9655172413793104
symmetric,0.2,5,Decision Tree,0.6991150442477876,0.7605633802816901
symmetric,0.2,5,Random Forest,0.9292035398230089,0.9459459459459459
symmetric,0.2,5,SVM,0.9557522123893806,0.9659863945578231
symmetric,0.2,5,KNN,0.9292035398230089,0.9428571428571428
symmetric,0.2,5,LightGBM,0.8761061946902655,0.9066666666666666
symmetric,0.3,1,Logistic Regression,0.8859649122807017,0.9150326797385621
symmetric,0.3,1,Decision Tree,0.7280701754385965,0.7669172932330827
symmetric,0.3,1,Random Forest,0.8508771929824561,0.8740740740740741
symmetric,0.3,1,SVM,0.9473684210526315,0.958904109589041
symmetric,0.3,1,KNN,0.8070175438596491,0.8552631578947368
symmetric,0.3,1,LightGBM,0.8157894736842105,0.8489208633093526
symmetric,0.3,2,Logistic Regression,0.8771929824561403,0.9078947368421053
symmetric,0.3,2,Decision Tree,0.631578947368421,0.7083333333333334
symmetric,0.3,2,Random Forest,0.8508771929824561,0.8903225806451613
symmetric,0.3,2,SVM,0.8508771929824561,0.89171974522293
symmetric,0.3,2,KNN,0.8245614035087719,0.8666666666666667
symmetric,0.3,2,LightGBM,0.7543859649122807,0.8108108108108109
symmetric,0.3,3,Logistic Regression,0.8771929824561403,0.9054054054054054
symmetric,0.3,3,Decision Tree,0.7192982456140351,0.7647058823529411
symmetric,0.3,3,Random Forest,0.8947368421052632,0.9166666666666666
symmetric,0.3,3,SVM,0.9473684210526315,0.96
symmetric,0.3,3,KNN,0.7368421052631579,0.7727272727272727
symmetric,0.3,3,LightGBM,0.8070175438596491,0.8405797101449275
symmetric,0.3,4,Logistic Regression,0.8859649122807017,0.9078014184397163
symmetric,0.3,4,Decision Tree,0.6491228070175439,0.696969696969697
symmetric,0.3,4,Random Forest,0.8771929824561403,0.8955223880597015
symmetric,0.3,4,SVM,0.9385964912280702,0.9496402877697842
symmetric,0.3,4,KNN,0.7807017543859649,0.8175182481751825
symmetric,0.3,4,LightGBM,0.7719298245614035,0.8115942028985508
symmetric,0.3,5,Logistic Regression,0.8938053097345132,0.92
symmetric,0.3,5,Decision Tree,0.6460176991150443,0.7014925373134329
symmetric,0.3,5,Random Forest,0.8495575221238938,0.8874172185430463
symmetric,0.3,5,SVM,0.8849557522123894,0.9161290322580645
symmetric,0.3,5,KNN,0.8495575221238938,0.8794326241134752
symmetric,0.3,5,LightGBM,0.7256637168141593,0.7891156462585034
asymmetric,0.0,1,Logistic Regression,0.9736842105263158,0.9787234042553191
asymmetric,0.0,1,Decision Tree,0.9122807017543859,0.9285714285714286
asymmetric,0.0,1,Random Forest,0.9649122807017544,0.9714285714285714
asymmetric,0.0,1,SVM,0.9912280701754386,0.9929078014184397
asymmetric,0.0,1,KNN,0.9824561403508771,0.9861111111111112
asymmetric,0.0,1,LightGBM,0.9736842105263158,0.9787234042553191
asymmetric,0.0,2,Logistic Regression,0.9473684210526315,0.9594594594594594
asymmetric,0.0,2,Decision Tree,0.8771929824561403,0.9078947368421053
asymmetric,0.0,2,Random Forest,0.9385964912280702,0.9517241379310345
asymmetric,0.0,2,SVM,0.9473684210526315,0.9583333333333334
asymmetric,0.0,2,KNN,0.9473684210526315,0.958904109589041
asymmetric,0.0,2,LightGBM,0.9473684210526315,0.958904109589041
