Noise_Type,Noise_Rate,Fold,Model,Accuracy,F1
symmetric,0.0,1,Logistic Regression,0.8255706827720339,0.5539267015706806
symmetric,0.0,1,Decision Tree,0.8115467294503019,0.6171761280931587
symmetric,0.0,1,Random Forest,0.8593510082915344,0.6813543599257885
symmetric,0.0,1,SVM,0.8483979936533934,0.6356703567035671
symmetric,0.0,1,KNN,0.8283345275872659,0.6189502385821404
symmetric,0.0,1,LightGBM,0.8734773262360528,0.7125581395348837
symmetric,0.0,2,Logistic Regression,0.8279250690961204,0.5596017815037988
symmetric,0.0,2,Decision Tree,0.8154365851161839,0.6182511115816218
symmetric,0.0,2,Random Forest,0.8590439144231754,0.6781958401495677
symmetric,0.0,2,SVM,0.8504452861091207,0.635388070875967
symmetric,0.0,2,KNN,0.8289487153239841,0.6143549503807986
symmetric,0.0,2,LightGBM,0.8746033370867028,0.7129130536676822
symmetric,0.0,3,Logistic Regression,0.8226863226863227,0.5468341182626897
symmetric,0.0,3,Decision Tree,0.808968058968059,0.6107634543178974
symmetric,0.0,3,Random Forest,0.8587223587223587,0.6789204281060959
symmetric,0.0,3,SVM,0.8483824733824734,0.6307653951633009
symmetric,0.0,3,KNN,0.8292383292383292,0.6224535989135356
symmetric,0.0,3,LightGBM,0.8737714987714987,0.714252607184241
symmetric,0.0,4,Logistic Regression,0.8308763308763308,0.5657202944269191
symmetric,0.0,4,Decision Tree,0.8177723177723177,0.6249473240623683
symmetric,0.0,4,Random Forest,0.8609746109746109,0.6846261031119368
symmetric,0.0,4,SVM,0.8536036036036037,0.6518987341772152
symmetric,0.0,4,KNN,0.8341523341523341,0.6370967741935484
symmetric,0.0,4,LightGBM,0.8763308763308764,0.7190697674418605
symmetric,0.0,5,Logistic Regression,0.8173628173628174,0.5302790942601369
symmetric,0.0,5,Decision Tree,0.8167485667485668,0.6167023554603854
symmetric,0.0,5,Random Forest,0.8563677313677314,0.6708890452732817
symmetric,0.0,5,SVM,0.8466420966420967,0.6232394366197183
symmetric,0.0,5,KNN,0.8251433251433251,0.610223642172524
symmetric,0.0,5,LightGBM,0.8726453726453727,0.7070183702308055
symmetric,0.1,1,Logistic Regression,0.8220902855972976,0.5145251396648045
symmetric,0.1,1,Decision Tree,0.7374347425529737,0.5164938737040528
symmetric,0.1,1,Random Forest,0.8440986794963661,0.6540994776288894
symmetric,0.1,1,SVM,0.8463507011976661,0.6272659548050658
