Noise_Type,Model,Relative_Drop
asymmetric,KNN,0.019828111900410356
asymmetric,Decision Tree,0.02218510433033881
asymmetric,Random Forest,0.02394337854608003
asymmetric,LightGBM,0.0265832935941685
asymmetric,Logistic Regression,0.03867047947871084
asymmetric,SVM,0.05456597294316567
symmetric,SVM,0.011014394418196094
symmetric,Logistic Regression,0.0166793291414651
symmetric,LightGBM,0.018830807595356353
symmetric,Random Forest,0.08531578923954779
symmetric,KNN,0.14805668414248407
symmetric,Decision Tree,0.24236711551484938
