Noise_Type,Noise_Rate,Model,Mean_Accuracy,Std_Accuracy,Mean_F1,Std_F1
asymmetric,0.0,Decision Tree,0.8121289271944405,0.0032762924248789503,0.6139257681944083,0.006077917596018049
asymmetric,0.0,KNN,0.8291634462890476,0.0032322283024388385,0.6206158408485094,0.010307391671862773
asymmetric,0.0,LightGBM,0.8741656822141006,0.0013982277241685267,0.7131623876118945,0.00430876861483787
asymmetric,0.0,Logistic Regression,0.824884244558725,0.005172659793232111,0.551272398004845,0.013652681028853215
asymmetric,0.0,Random Forest,0.8568241174572426,0.0024883240805485306,0.674361058118333,0.007156507834086678
asymmetric,0.0,SVM,0.8494942906781375,0.0026628866251580106,0.6353923987079537,0.010507616753117413
asymmetric,0.1,Decision Tree,0.805372400988636,0.001881536978744077,0.5771507550792476,0.007363464062899786
asymmetric,0.1,KNN,0.8265018445333728,0.00347026225790974,0.5898473717687798,0.01451786620274033
asymmetric,0.1,LightGBM,0.8714425547929489,0.002732447231759731,0.6907253560521164,0.009308131711116576
asymmetric,0.1,Logistic Regression,0.8186601757770762,0.003232490493850455,0.48555387543559386,0.009781507195212367
asymmetric,0.1,Random Forest,0.8542442858365675,0.002206684665747665,0.6482711968339754,0.007801452443248193
asymmetric,0.1,SVM,0.8477949142807368,0.0032588030753904953,0.6113043550071666,0.01036106730472504
asymmetric,0.2,Decision Tree,0.8005814348300785,0.0015743416506476756,0.5421776415878645,0.003943302521826591
asymmetric,0.2,KNN,0.8216699031828524,0.003783368314040768,0.5457279969615976,0.016403328050508956
asymmetric,0.2,LightGBM,0.8642970996103354,0.002991724919580964,0.6487475865131681,0.010979661792777767
asymmetric,0.2,Logistic Regression,0.8050857968121761,0.0028018314958097768,0.3885217112599354,0.01142520549075907
asymmetric,0.2,Random Forest,0.8492281112201268,0.0029814243744112384,0.6113916317398886,0.009672280235316414
asymmetric,0.2,SVM,0.834077281433715,0.0033103115536933427,0.5173096827778518,0.016429104756979538
asymmetric,0.3,Decision Tree,0.7941117622149457,0.003736768565842193,0.5054161005567284,0.010641746784852092
asymmetric,0.3,KNN,0.8127227006922985,0.003287678131259684,0.48122140735703056,0.015175958932663127
asymmetric,0.3,LightGBM,0.8509274792338566,0.0029965238834374444,0.5757568903410404,0.014629067089818927
asymmetric,0.3,Logistic Regression,0.7929855753072049,0.0024573871579087444,0.28802408154353804,0.013790671306033307
asymmetric,0.3,Random Forest,0.8363088532655529,0.003391998306803857,0.5405240860187606,0.012539321224379637
asymmetric,0.3,SVM,0.8031408081976206,0.002616408196542232,0.3154049472805133,0.015039694854503466
symmetric,0.0,Decision Tree,0.8140944516110858,0.0037129213143923183,0.6175680747030864,0.005052865796324116
symmetric,0.0,KNN,0.8291634462890476,0.0032322283024388385,0.6206158408485094,0.010307391671862773
symmetric,0.0,LightGBM,0.8741656822141006,0.0013982277241685267,0.7131623876118945,0.00430876861483787
symmetric,0.0,Logistic Regression,0.824884244558725,0.005172659793232111,0.551272398004845,0.013652681028853215
symmetric,0.0,Random Forest,0.8588919247558822,0.0016561812504873,0.6787971553133342,0.005085049370015548
symmetric,0.0,SVM,0.8494942906781375,0.0026628866251580106,0.6353923987079537,0.010507616753117413
symmetric,0.1,Decision Tree,0.738810785911308,0.0037233238371941913,0.5193546724633878,0.003181108751659592
symmetric,0.1,KNN,0.8133573886005045,0.004073510965234232,0.5973531686186071,0.012321825604289406
symmetric,0.1,LightGBM,0.8715040029094692,0.00216829343484658,0.7015109876471454,0.005445971063104337
symmetric,0.1,Logistic Regression,0.8220383634269396,0.004061886967334778,0.5159400017450143,0.011933262419149559
symmetric,0.1,Random Forest,0.8480816609796035,0.0033606270589247975,0.6584821072083727,0.007614673861465373
symmetric,0.1,SVM,0.8475287704533278,0.002152624572063462,0.6256355038539688,0.011059443786926814
symmetric,0.2,Decision Tree,0.6713484858126071,0.003767993202297129,0.4513555080815994,0.009447087972000664
symmetric,0.2,KNN,0.7738627738934832,0.007783977897447503,0.5472974153337161,0.017973002684436783
symmetric,0.2,LightGBM,0.8675115625494374,0.0029006943198310597,0.6923779604013013,0.008331946401716977
symmetric,0.2,Logistic Regression,0.8151999979208495,0.0039817447230065086,0.48464385049617886,0.01331686128934853
symmetric,0.2,Random Forest,0.8287539961815732,0.005107893070770458,0.6278033387685962,0.014030515657305157
symmetric,0.2,SVM,0.8439458388864673,0.0035245037115334468,0.6125964353994316,0.017976292297400033
symmetric,0.3,Decision Tree,0.6167847276174638,0.0038866963764948273,0.40020714723604317,0.00941620383825612
symmetric,0.3,KNN,0.7064002558193365,0.0034360998346667903,0.47355209613133936,0.010212141549047806
symmetric,0.3,LightGBM,0.8577044364458635,0.004901590613825704,0.6702550627374249,0.013387059511491719
symmetric,0.3,Logistic Regression,0.8111257287401212,0.00296507408435572,0.4644473631893896,0.023727034754563853
symmetric,0.3,Random Forest,0.7856148823238598,0.006785730775107422,0.5651877421161478,0.014572805177678266
symmetric,0.3,SVM,0.8401376255046028,0.004931875062194389,0.596668252676805,0.024342624707272772
